source_system,department_code,position_name,cleaned_name,category,rate,harm,rank,cluster,etalon_name
1,253,Рабочий по обслуживанию зданий,Рабочий по обслуживанию зданий,,,,,1633.0,Ведущий инженер по организации эксплуатации
1,253,Преподаватель первой категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,253,Специалист по кадрам,Специалист по кадрам,,,,,187.0,Специалист по кадрам
1,253,программист,Программист,,,,,104.0,Программист
1,253,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,254,Оператор котельной,Оператор котельной,,,,,,
1,254,Рабочий,Рабочий,,,,,451.0,Рабочий
1,254,Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,254,Преподаватель без категории,Преподаватель,без категории,,,,139.0,Преподаватель
1,254,Директор,Директор,,,,,24.0,Директор
1,254,Преподаватель 1 категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,254,Преподаватель высшей категории,Преподаватель,высшая категория,,,,139.0,Преподаватель
1,254,Концертмейстер без категории,Концертмейстер,без категории,,,,419.0,Концертмейстер
1,254,Концертмейстер 1 категории,Концертмейстер,1 категория,,,,419.0,Концертмейстер
1,254,Заместитель директора по учебно-воспитательной работе,Заместитель директора по учебно-воспитательной работе,,,,,124.0,Заместитель директора по работе
1,254,Заведующий хозяйством,Заведующий хозяйством,,,,,366.0,Заведующий хозяйством
1,254,Секретарь,Секретарь,,,,,79.0,Секретарь
1,254,Библиотекарь,Библиотекарь,,,,,,
1,254,Вахтер,Вахтер,,,,,236.0,Вахтер
1,254,Программист,Программист,,,,,104.0,Программист
1,254,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,254,Настройщик пианино и роялей,Настройщик пианино роялей,,,,,1050.0,Настройщик пианино роялей
1,254,Уборщик территории,Уборщик территории,,,,,1280.0,Уборщик
1,254,Экономист,Экономист,,,,,571.0,Экономист
1,254,Сторож,Сторож,,,,,560.0,Сторож
1,256,Преподаватель (в системе специального образования),Преподаватель,,,,,139.0,Преподаватель
1,256,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,256,Делопроизводитель,Делопроизводитель,,,,,549.0,Делопроизводитель старший
1,256,Концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,256,Заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,256,"Директор школы (гимназии, лицея)",Директор школы,,,,,1017.0,Директор школы
1,256,Уборщик производственных и служебных помещений,Уборщик производственных служебных помещений,,,,,793.0,Уборщик производственных служебных помещений
1,256,Рабочий по комплексному обслуживанию и ремонту зданий,Рабочий по комплексному обслуживанию ремонту зданий,,,,,1663.0,Рабочий по обслуживанию ремонту зданий
1,256,Программист,Программист,,,,,104.0,Программист
1,259,Уборщик производственных и служебных помещений,Уборщик производственных служебных помещений,,,,,793.0,Уборщик производственных служебных помещений
1,259,Преподаватель 1 категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,259,Преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,259,Делопроизводитель,Делопроизводитель,,,,,549.0,Делопроизводитель старший
1,259,Директор,Директор,,,,,24.0,Директор
1,259,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,259,Концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,259,Заместитель директора по УВР,Заместитель директора по учебно-воспитательной работе,,,,,124.0,Заместитель директора по работе
1,259,Экономист,Экономист,,,,,571.0,Экономист
1,259,Концертмейстер 1 категории,Концертмейстер,1 категория,,,,419.0,Концертмейстер
1,259,Программист,Программист,,,,,104.0,Программист
1,261,Преподаватель фортепиано,Преподаватель фортепиано,,,,,1634.0,Преподаватель по классу фортепиано
1,261,Директор,Директор,,,,,24.0,Директор
1,261,Заместитель директора по УВР,Заместитель директора по учебно-воспитательной работе,,,,,124.0,Заместитель директора по работе
1,261,Бухгалтер,Бухгалтер,,,,,61.0,Бухгалтер
1,261,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,261,Преподаватель 1 категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,261, Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,261,Заведующий хозяйством,Заведующий хозяйством,,,,,366.0,Заведующий хозяйством
1,261,Настройщик пианино и роялей,Настройщик пианино роялей,,,,,1050.0,Настройщик пианино роялей
1,261,Вахтер,Вахтер,,,,,236.0,Вахтер
1,261,Экономист,Экономист,,,,,571.0,Экономист
1,261,Преподаватель без категории,Преподаватель,без категории,,,,139.0,Преподаватель
1,261,Делопроизводитель,Делопроизводитель,,,,,549.0,Делопроизводитель старший
1,262,вахтер,Вахтер,,,,,236.0,Вахтер
1,262,концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,262,преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,262,уборщик помещений,Уборщик помещений,,,,,300.0,Уборщик помещений
1,262,заведующий хозяйством,Заведующий хозяйством,,,,,366.0,Заведующий хозяйством
1,262,Преподаватель 1 категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,262,экономист,Экономист,,,,,571.0,Экономист
1,262,главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,262,Преподаватель высшей категории,Преподаватель,высшая категория,,,,139.0,Преподаватель
1,262,Директор,Директор,,,,,24.0,Директор
1,262,заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,262,бухгалтер,Бухгалтер,,,,,61.0,Бухгалтер
1,262,делопроизводитель,Делопроизводитель,,,,,549.0,Делопроизводитель старший
1,262,специалист по кадрам,Специалист по кадрам,,,,,187.0,Специалист по кадрам
1,262,настройщик музыкальных инструментов,Настройщик музыкальных инструментов,,,,,683.0,Настройщик инструментов
1,266,Преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,266,Заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,266,Сторож,Сторож,,,,,560.0,Сторож
1,266,Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,266,Директор,Директор,,,,,24.0,Директор
1,266,Оператор котельной,Оператор котельной,,,,,,
1,266,Гардеробщик,Гардеробщик,,,,,1304.0,Гардеробщик
1,266,Юрисконсульт,Юрисконсульт,,,,,542.0,Юрисконсульт
1,266,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
